,Name,Name_no_underscore,Gender,Branches,Links,Main_character,Warehouse_worker,Community
14,Asian_Jim,Asian Jim,Male,[],"['Dwight Schrute', 'Pam Beesly', 'Jim Halpert']",0,0,1
15,Astrid_Levinson,Astrid Levinson,Female,[],"['Michael Scott', 'Andy Roddick', 'Cecelia Halpert', 'Jan Levinson', 'Kevin Malone', 'Hunter Raymond']",0,0,6
16,Aunt_Carol,Aunt Carol,Female,[],['Ryan Howard'],0,0,3
17,Aunt_Shirley,Aunt Shirley,Female,[],"['Angela Martin', 'Mose Schrute', 'Dwight Schrute', 'Honk', 'Oscar Martinez']",0,0,5
18,Bandit,Bandit,Female,[],"['Angela Martin', 'Dwight Schrute', 'Oscar Martinez', 'Jim Halpert']",0,0,5
19,Barbara_Allen,Barbara Allen,Female,[],"['Michael Scott', 'Pam Beesly']",0,0,0
20,Barbara_Keevis,Barbara Keevis,Female,[],['Michael Scott'],0,0,0
21,Belsnickel,Belsnickel,Unknown,[],"['Dwight Schrute', 'Nate Nickerson']",0,0,5
22,Bert_California,Bert California,Male,[],"['Dwight Schrute', 'Robert California']",0,0,4
23,Bert_Jacobs,Bert Jacobs,Unknown,[],['Creed Bratton'],0,0,0
24,Betsy_Halpert,Betsy Halpert,Female,[],"['Tom Halpert', 'Helene Beesly', 'Gerald Halpert', 'Jim Halpert', 'Pete Halpert', 'William Beesly', 'Phillip Halpert']",0,0,1
25,Bill_Cress,Bill Cress,Male,[],['Kevin Malone'],0,0,2
26,Billy_Merchant,Billy Merchant,Male,[],['Michael Scott'],0,0,0
27,Billy_the_Bartender,Billy the Bartender,Male,[],"['Michael Scarn', 'Andy Bernard']",0,0,6
28,Blind_Guy_McSqueezy,Blind Guy McSqueezy,Male,[],"['Michael Scott', 'Pam Beesly', 'Jim Halpert']",0,0,1
29,Bob_Vance,Bob Vance,Male,[],"['Angela Martin', 'Kelly Kapoor', 'Stanley Hudson', 'Kevin Malone', 'Phyllis Vance', 'Ryan Howard']",0,0,8
30,Brandon,Brandon,Male,[],"['Val Johnson', 'Andy Bernard']",0,0,4
31,Brenda_Matlowe,Brenda Matlowe,Female,['Dunder Mifflin Corporate Office'],"['Michael Scott', 'Kevin Malone', 'Pam Beesly', 'Jan Levinson', 'Jim Halpert', 'Abby']",0,0,2
